admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-AS-chirang,Chirang,Assam,level-2,18,21,true,census_code
IN-KA-chitradurga,Chitradurga,Karnataka,level-2,29,12,true,census_code
IN-UP-chitrakoot,Chitrakoot,Uttar Pradesh,level-2,9,40,true,census_code
IN-RJ-chittaurgarh,Chittaurgarh,Rajasthan,level-2,8,28,true,census_code
IN-AP-chittoor,Chittoor,Andhra Pradesh,level-2,28,13,true,exact_state_district
IN-MN-churachandpur,Churachandpur,Manipur,level-2,14,3,true,census_code
IN-RJ-churu,Churu,Rajasthan,level-2,8,4,true,census_code
IN-TN-coimbatore,Coimbatore,Tamil Nadu,level-2,33,31,true,census_code
IN-TN-cuddalore,Cuddalore,Tamil Nadu,level-2,33,16,true,census_code
IN-AP-y-s-r,Y.s.r.,Andhra Pradesh,level-2,28,10,true,exact_state_district
IN-OR-cuttack,Cuttack,Odisha,level-2,21,12,true,census_code
IN-DH-dadra-nagar-haveli,Dadra & Nagar Haveli,Dadara & Nagar Havelli,level-2,26,1,true,census_code
IN-CT-dakshin-bastar-dantewada,Dakshin Bastar Dantewada,Chhattisgarh,level-2,22,17,true,census_code
IN-WB-dakshin-dinajpur,Dakshin Dinajpur,West Bengal,level-2,19,5,true,census_code
IN-KA-dakshina-kannada,Dakshina Kannada,Karnataka,level-2,29,21,true,census_code
IN-DH-daman,Daman,Daman & Diu,level-2,25,2,true,census_code
IN-MP-damoh,Damoh,Madhya Pradesh,level-2,23,11,true,census_code
IN-BR-darbhanga,Darbhanga,Bihar,level-2,10,13,true,census_code
IN-WB-darjiling,Darjiling,West Bengal,level-2,19,1,true,census_code
IN-AS-darrang,Darrang,Assam,level-2,18,26,true,census_code
IN-JK-data-not-available,Data Not Available,Jammu & Kashmir,level-2,,,false,unmatched
IN-MP-datia,Datia,Madhya Pradesh,level-2,23,5,true,census_code
IN-KA-davanagere,Davanagere,Karnataka,level-2,29,13,true,census_code
IN-OR-debagarh,Debagarh,Odisha,level-2,21,4,true,census_code
IN-UT-dehradun,Dehradun,Uttarakhand,level-2,5,5,true,census_code
IN-JH-deoghar,Deoghar,Jharkhand,level-2,20,5,true,census_code
IN-UP-deoria,Deoria,Uttar Pradesh,level-2,9,59,true,census_code
IN-MP-dewas,Dewas,Madhya Pradesh,level-2,23,20,true,census_code
IN-TR-dhalai,Dhalai,Tripura,level-2,16,3,true,census_code
