admin_unit_code,sector,indicator_key,indicator_label,coverage_pct,deficit_pct,source,year
IN-AR-upper-subansiri,education,pct_females_never_attended_school,Females age 6+ who never attended school,61.4,38.6,NFHS-5,2021
IN-AR-upper-subansiri,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,80.9,19.1,NFHS-5,2021
IN-AR-upper-subansiri,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,94.7,5.3,NFHS-5,2021
IN-AR-upper-subansiri,electricity,pct_households_no_electricity,Households without an electricity connection,87.0,13.0,NFHS-5,2021
IN-AR-west-kameng,health,pct_births_non_institutional,Births not delivered in a health facility,93.6,6.4,NFHS-5,2021
IN-AR-west-kameng,education,pct_females_never_attended_school,Females age 6+ who never attended school,73.0,27.0,NFHS-5,2021
IN-AR-west-kameng,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,88.9,11.1,NFHS-5,2021
IN-AR-west-kameng,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.8,0.2,NFHS-5,2021
IN-AR-west-kameng,electricity,pct_households_no_electricity,Households without an electricity connection,97.5,2.5,NFHS-5,2021
IN-AR-west-siang,health,pct_births_non_institutional,Births not delivered in a health facility,84.6,15.4,NFHS-5,2021
IN-AR-west-siang,education,pct_females_never_attended_school,Females age 6+ who never attended school,73.6,26.4,NFHS-5,2021
IN-AR-west-siang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,87.7,12.3,NFHS-5,2021
IN-AR-west-siang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.1,0.9,NFHS-5,2021
IN-AR-west-siang,electricity,pct_households_no_electricity,Households without an electricity connection,88.2,11.8,NFHS-5,2021
IN-AS-barpeta,health,pct_births_non_institutional,Births not delivered in a health facility,87.6,12.4,NFHS-5,2021
IN-AS-barpeta,education,pct_females_never_attended_school,Females age 6+ who never attended school,75.4,24.6,NFHS-5,2021
IN-AS-barpeta,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,63.7,36.3,NFHS-5,2021
IN-AS-barpeta,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.1,1.9,NFHS-5,2021
IN-AS-barpeta,electricity,pct_households_no_electricity,Households without an electricity connection,88.9,11.1,NFHS-5,2021
IN-AS-bongaigaon,health,pct_births_non_institutional,Births not delivered in a health facility,84.5,15.5,NFHS-5,2021
IN-AS-bongaigaon,education,pct_females_never_attended_school,Females age 6+ who never attended school,77.0,23.0,NFHS-5,2021
IN-AS-bongaigaon,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,72.5,27.5,NFHS-5,2021
IN-AS-bongaigaon,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,95.3,4.7,NFHS-5,2021
IN-AS-bongaigaon,electricity,pct_households_no_electricity,Households without an electricity connection,97.0,3.0,NFHS-5,2021
IN-AS-cachar,health,pct_births_non_institutional,Births not delivered in a health facility,79.2,20.8,NFHS-5,2021
IN-AS-cachar,education,pct_females_never_attended_school,Females age 6+ who never attended school,80.5,19.5,NFHS-5,2021
IN-AS-cachar,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,57.6,42.4,NFHS-5,2021
IN-AS-cachar,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,43.8,56.2,NFHS-5,2021
IN-AS-cachar,electricity,pct_households_no_electricity,Households without an electricity connection,81.7,18.3,NFHS-5,2021
IN-AS-darrang,health,pct_births_non_institutional,Births not delivered in a health facility,84.4,15.6,NFHS-5,2021
IN-AS-darrang,education,pct_females_never_attended_school,Females age 6+ who never attended school,75.2,24.8,NFHS-5,2021
IN-AS-darrang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,67.9,32.1,NFHS-5,2021
IN-AS-darrang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.7,0.3,NFHS-5,2021
IN-AS-darrang,electricity,pct_households_no_electricity,Households without an electricity connection,89.5,10.5,NFHS-5,2021
IN-AS-dhemaji,health,pct_births_non_institutional,Births not delivered in a health facility,87.3,12.7,NFHS-5,2021
IN-AS-dhemaji,education,pct_females_never_attended_school,Females age 6+ who never attended school,77.3,22.7,NFHS-5,2021
IN-AS-dhemaji,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,70.8,29.2,NFHS-5,2021
IN-AS-dhemaji,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,95.3,4.7,NFHS-5,2021
IN-AS-dhemaji,electricity,pct_households_no_electricity,Households without an electricity connection,95.0,5.0,NFHS-5,2021
IN-AS-dhuburi,health,pct_births_non_institutional,Births not delivered in a health facility,64.2,35.8,NFHS-5,2021
IN-AS-dhuburi,education,pct_females_never_attended_school,Females age 6+ who never attended school,71.8,28.2,NFHS-5,2021
IN-AS-dhuburi,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,61.8,38.2,NFHS-5,2021
IN-AS-dhuburi,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,96.7,3.3,NFHS-5,2021
IN-AS-dhuburi,electricity,pct_households_no_electricity,Households without an electricity connection,92.5,7.5,NFHS-5,2021
IN-AS-dibrugarh,health,pct_births_non_institutional,Births not delivered in a health facility,93.1,6.9,NFHS-5,2021
IN-AS-dibrugarh,education,pct_females_never_attended_school,Females age 6+ who never attended school,79.5,20.5,NFHS-5,2021
IN-AS-dibrugarh,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,75.3,24.7,NFHS-5,2021
IN-AS-dibrugarh,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.1,1.9,NFHS-5,2021
IN-AS-dibrugarh,electricity,pct_households_no_electricity,Households without an electricity connection,94.4,5.6,NFHS-5,2021
IN-AS-goalpara,health,pct_births_non_institutional,Births not delivered in a health facility,92.3,7.7,NFHS-5,2021
IN-AS-goalpara,education,pct_females_never_attended_school,Females age 6+ who never attended school,78.5,21.5,NFHS-5,2021
